Mietobjektschlüssel,Buchungskreis,Wirtschaftseinheit,Mieteinheit,Konditionsart,Miete pro Monat,Grundmiete
OS 6784/9924/2261,6784,9924,2261,60B3,7.55,
OS 6784/9924/1992,6784,9924,1992,2001,75.76,x
OS 6784/9924/1992,6784,9924,1992,7005,35.41,x
OS 6784/9924/1992,6784,9924,1992,8022,19.09,
OS 6784/9924/1992,6784,9924,1992,60B3,7.55,
OS 6784/9924/2261,6784,9924,2261,2001,106.87,x
OS 6784/9924/2261,6784,9924,2261,7005,35.41,x
OS 6784/9924/2261,6784,9924,2261,8022,2.74,
OS 6784/9924/2261,6784,9924,2261,60B3,7.55,
OS 6784/9924/2261,6784,9924,2261,30E5,-5.04,x
OS 6784/9924/2153,6784,9924,2153,2001,47.66,x
OS 6784/9924/2153,6784,9924,2153,7005,35.41,x
OS 6784/9924/2153,6784,9924,2153,8022,48.95,
OS 6784/9924/2153,6784,9924,2153,60B3,7.55,
OS 6784/9924/2090,6784,9924,2090,2001,138.76,x
OS 6784/9924/2090,6784,9924,2090,7005,35.41,x
OS 6784/9924/2090,6784,9924,2090,8022,48.95,
OS 6784/9924/2090,6784,9924,2090,60B3,7.55,
OS 6784/9924/2008,6784,9924,2008,2001,203.42,x
OS 6784/9924/2008,6784,9924,2008,7005,35.41,x
OS 6784/9924/2008,6784,9924,2008,8022,2.74,
OS 6784/9924/2008,6784,9924,2008,60B3,7.55,
OS 6784/9924/2008,6784,9924,2008,30E5,-15.22,x
OS 6784/9924/2054,6784,9924,2054,2001,201.56,x
OS 6784/9924/2054,6784,9924,2054,7005,35.41,x
OS 6784/9924/2054,6784,9924,2054,8022,14.03,
OS 6784/9924/2054,6784,9924,2054,2001,312.86,x
OS 6784/9924/2054,6784,9924,2054,7005,31.22,x
OS 6784/9924/2054,6784,9924,2054,8022,14.03,
OS 6784/9924/2054,6784,9924,2054,30E5,-68.26,x
OS 6784/9924/2014,6784,9924,2014,2001,436.69,x
OS 6784/9924/2014,6784,9924,2014,3087,8.87,
OS 6784/9924/2014,6784,9924,2014,7005,35.41,x
OS 6784/9924/2014,6784,9924,2014,8022,14.03,
OS 6784/9924/2014,6784,9924,2014,30E5,-104.09,x
OS 6784/9924/2176,6784,9924,2176,2001,188.94,x
OS 6784/9924/2176,6784,9924,2176,7005,35.41,x
OS 6784/9924/2176,6784,9924,2176,8022,9.19,
OS 6784/9924/2176,6784,9924,2176,60B3,7.55,
OS 6784/9924/2194,6784,9924,2194,2001,194.38,x
OS 6784/9924/2194,6784,9924,2194,7005,35.41,x
OS 6784/9924/2194,6784,9924,2194,8022,48.95,
OS 6784/9924/2194,6784,9924,2194,60B3,7.55,
OS 6784/9924/2380,6784,9924,2380,2001,49.49,x
OS 6784/9924/2380,6784,9924,2380,7005,35.41,x
OS 6784/9924/2380,6784,9924,2380,8022,77.42,
OS 6784/9924/2380,6784,9924,2380,60B3,7.55,
OS 6784/9924/2190,6784,9924,2190,2001,252.68,x
OS 6784/9924/2190,6784,9924,2190,7005,35.41,x
OS 6784/9924/2190,6784,9924,2190,8022,68.36,
OS 6784/9924/2190,6784,9924,2190,60B3,7.55,
OS 6784/9924/2190,6784,9924,2190,70K9,21.72,
OS 6784/9924/2276,6784,9924,2276,2001,116.08,x
OS 6784/9924/2276,6784,9924,2276,7005,35.41,x
OS 6784/9924/2276,6784,9924,2276,8022,14.38,
OS 6784/9924/2276,6784,9924,2276,60B3,7.55,
OS 6784/9924/2150,6784,9924,2150,2001,10.88,x
OS 6784/9924/2150,6784,9924,2150,7005,35.41,x
OS 6784/9924/2150,6784,9924,2150,8022,2.74,
OS 6784/9924/2150,6784,9924,2150,60B3,7.55,
OS 6784/9924/2150,6784,9924,2150,2001,580.10,x
OS 6784/9924/2150,6784,9924,2150,7005,31.22,x
OS 6784/9924/2150,6784,9924,2150,8022,14.03,
OS 6784/9924/2334,6784,9924,2334,2001,10.88,x
OS 6784/9924/2334,6784,9924,2334,7005,35.41,x
OS 6784/9924/2334,6784,9924,2334,8022,17.77,
OS 6784/9924/2334,6784,9924,2334,60B3,7.55,
OS 6784/9924/2158,6784,9924,2158,2001,186.05,x
OS 6784/9924/2158,6784,9924,2158,7005,35.41,x
OS 6784/9924/2158,6784,9924,2158,8022,14.38,
OS 6784/9924/2158,6784,9924,2158,60B3,7.55,
OS 6784/9924/2420,6784,9924,2420,2001,25.24,x
OS 6784/9924/2420,6784,9924,2420,7005,45.99,x
OS 6784/9924/2420,6784,9924,2420,8022,12.04,
OS 6784/9924/2420,6784,9924,2420,2001,436.69,x
OS 6784/9924/2420,6784,9924,2420,3087,8.87,
OS 6784/9924/2420,6784,9924,2420,7005,35.41,x
OS 6784/9924/2420,6784,9924,2420,8022,2.74,
OS 6784/9924/2420,6784,9924,2420,60B3,11.22,
OS 6784/9924/2420,6784,9924,2420,30E5,-16.89,x
OS 6784/9924/2158,6784,9924,2158,2001,215.13,x
OS 6784/9924/2158,6784,9924,2158,7005,35.41,x
OS 6784/9924/2158,6784,9924,2158,8022,5.42,
OS 6784/9924/2158,6784,9924,2158,60B3,7.55,
OS 6784/9924/2106,6784,9924,2106,2001,360.16,x
OS 6784/9924/2106,6784,9924,2106,7005,84.49,x
OS 6784/9924/2106,6784,9924,2106,8022,14.38,
OS 6784/9924/2106,6784,9924,2106,30E5,-42.95,x
OS 6784/9924/2367,6784,9924,2367,2001,288.12,x
OS 6784/9924/2367,6784,9924,2367,7005,35.41,x
OS 6784/9924/2367,6784,9924,2367,8022,51.19,
OS 6784/9924/2367,6784,9924,2367,60B3,7.55,
OS 6784/9924/2367,6784,9924,2367,70C0,12.80,
OS 6784/9924/2395,6784,9924,2395,2001,232.73,x
OS 6784/9924/2395,6784,9924,2395,7005,35.41,x
OS 6784/9924/2395,6784,9924,2395,8022,35.15,
OS 6784/9924/2395,6784,9924,2395,60B3,7.55,
OS 6784/9924/2482,6784,9924,2482,2001,96.00,x
OS 6784/9924/2482,6784,9924,2482,7005,84.49,x
OS 6784/9924/2482,6784,9924,2482,8022,1.09,
OS 6784/9924/2482,6784,9924,2482,60B3,26.52,
OS 6784/9924/2482,6784,9924,2482,2001,511.29,x
OS 6784/9924/2482,6784,9924,2482,3087,8.87,
OS 6784/9924/2482,6784,9924,2482,7005,48.52,x
OS 6784/9924/2482,6784,9924,2482,8022,35.15,
OS 6784/9924/2482,6784,9924,2482,30E5,-186.93,x
OS 6784/9924/2502,6784,9924,2502,2001,41.51,x
OS 6784/9924/2502,6784,9924,2502,7005,84.49,x
OS 6784/9924/2502,6784,9924,2502,8022,55.04,
OS 6784/9924/2502,6784,9924,2502,60B3,26.52,
OS 6784/9924/2517,6784,9924,2517,2001,220.45,x
OS 6784/9924/2517,6784,9924,2517,7005,77.42,x
OS 6784/9924/2517,6784,9924,2517,8022,55.04,
OS 6784/9924/2517,6784,9924,2517,2001,302.87,x
OS 6784/9924/2517,6784,9924,2517,7005,35.15,x
OS 6784/9924/2517,6784,9924,2517,8022,14.03,
OS 6784/9924/2285,6784,9924,2285,2001,213.65,x
OS 6784/9924/2285,6784,9924,2285,7005,84.49,x
OS 6784/9924/2285,6784,9924,2285,8022,72.09,
OS 6784/9924/2285,6784,9924,2285,60B3,26.52,
OS 6784/9924/2462,6784,9924,2462,2001,242.69,x
OS 6784/9924/2462,6784,9924,2462,7005,84.49,x
OS 6784/9924/2462,6784,9924,2462,8022,14.03,
OS 6784/9924/2462,6784,9924,2462,60B3,26.52,
OS 6784/9924/2319,6784,9924,2319,2001,137.62,x
OS 6784/9924/2319,6784,9924,2319,7005,84.49,x
OS 6784/9924/2319,6784,9924,2319,8022,77.42,
OS 6784/9924/2319,6784,9924,2319,60B3,26.52,
OS 6784/9924/2447,6784,9924,2447,2001,17.54,x
OS 6784/9924/2447,6784,9924,2447,7005,84.49,x
OS 6784/9924/2447,6784,9924,2447,8022,79.56,
OS 6784/9924/2447,6784,9924,2447,60B3,26.52,
OS 6784/9924/2391,6784,9924,2391,2001,97.98,x
OS 6784/9924/2391,6784,9924,2391,7005,84.49,x
OS 6784/9924/2391,6784,9924,2391,8022,84.49,
OS 6784/9924/2391,6784,9924,2391,60B3,26.52,
OS 6784/9924/2416,6784,9924,2416,5076,78.40,
OS 6784/9924/2416,6784,9924,2416,5076,68.36,
OS 6784/9924/2416,6784,9924,2416,5076,68.36,
OS 6784/9924/2416,6784,9924,2416,5076,68.36,
OS 6784/9924/2263,6784,9924,2263,2001,202.10,x
OS 6784/9924/2263,6784,9924,2263,7005,35.41,x
OS 6784/9924/2263,6784,9924,2263,8022,48.95,
OS 6784/9924/2263,6784,9924,2263,60B3,26.52,
OS 6784/9924/2390,6784,9924,2390,2001,274.15,x
OS 6784/9924/2390,6784,9924,2390,7005,84.49,x
OS 6784/9924/2390,6784,9924,2390,8022,14.03,
OS 6784/9924/2390,6784,9924,2390,60B3,26.52,
OS 6784/9924/2355,6784,9924,2355,2001,212.37,x
OS 6784/9924/2355,6784,9924,2355,7005,35.41,x
OS 6784/9924/2355,6784,9924,2355,8022,55.04,
OS 6784/9924/2355,6784,9924,2355,60B3,26.52,
OS 6784/9924/2533,6784,9924,2533,2001,136.99,x
OS 6784/9924/2533,6784,9924,2533,7005,84.49,x
OS 6784/9924/2533,6784,9924,2533,8022,9.19,
OS 6784/9924/2533,6784,9924,2533,60B3,26.52,
OS 6784/9924/2368,6784,9924,2368,2001,109.56,x
OS 6784/9924/2368,6784,9924,2368,7005,35.41,x
OS 6784/9924/2368,6784,9924,2368,8022,72.09,
OS 6784/9924/2368,6784,9924,2368,60B3,26.52,
OS 6784/9924/2368,6784,9924,2368,2001,283.53,x
OS 6784/9924/2368,6784,9924,2368,7005,84.49,x
OS 6784/9924/2368,6784,9924,2368,8022,14.03,
OS 6784/9924/2368,6784,9924,2368,30E5,-161.90,x
OS 6784/9924/2276,6784,9924,2276,2001,271.41,x
OS 6784/9924/2276,6784,9924,2276,7005,84.49,x
OS 6784/9924/2276,6784,9924,2276,8022,55.04,
OS 6784/9924/2276,6784,9924,2276,60B3,26.52,
OS 6784/9924/2654,6784,9924,2654,2001,140.78,x
OS 6784/9924/2654,6784,9924,2654,7005,84.49,x
OS 6784/9924/2654,6784,9924,2654,8022,33.90,
OS 6784/9924/2654,6784,9924,2654,30E5,-101.83,x
OS 6784/9924/2384,6784,9924,2384,2001,129.80,x
OS 6784/9924/2384,6784,9924,2384,7005,84.49,x
OS 6784/9924/2384,6784,9924,2384,8022,1.09,
OS 6784/9924/2384,6784,9924,2384,60B3,26.52,
OS 6784/9924/2384,6784,9924,2384,2001,144.94,x
OS 6784/9924/2384,6784,9924,2384,3087,8.87,
OS 6784/9924/2384,6784,9924,2384,7005,84.49,x
OS 6784/9924/2384,6784,9924,2384,8022,43.01,
OS 6784/9924/2384,6784,9924,2384,30E5,-26.77,x
OS 6784/9924/2662,6784,9924,2662,2001,459.93,x
OS 6784/9924/2662,6784,9924,2662,7005,67.46,x
OS 6784/9924/2662,6784,9924,2662,8022,2.74,
OS 6784/9924/2662,6784,9924,2662,30E5,-170.82,x
OS 6784/9924/2603,6784,9924,2603,2001,236.32,x
OS 6784/9924/2603,6784,9924,2603,7005,67.46,x
OS 6784/9924/2603,6784,9924,2603,8022,14.38,
OS 6784/9924/2603,6784,9924,2603,60B3,26.52,
OS 6784/9924/2603,6784,9924,2603,20D6,-2.30,x
OS 6784/9924/2603,6784,9924,2603,30E5,-1.87,x
OS 6784/9924/2497,6784,9924,2497,2001,245.17,x
OS 6784/9924/2497,6784,9924,2497,7005,67.46,x
OS 6784/9924/2497,6784,9924,2497,8022,2.74,
OS 6784/9924/2497,6784,9924,2497,60B3,26.52,
OS 6784/9924/2336,6784,9924,2336,2001,266.86,x
OS 6784/9924/2336,6784,9924,2336,7005,67.46,x
OS 6784/9924/2336,6784,9924,2336,8022,77.42,
OS 6784/9924/2336,6784,9924,2336,60B3,26.52,
OS 6784/9924/2469,6784,9924,2469,2001,144.94,x
OS 6784/9924/2469,6784,9924,2469,7005,67.46,x
OS 6784/9924/2469,6784,9924,2469,8022,55.04,
OS 6784/9924/2469,6784,9924,2469,60B3,8.87,
OS 6784/9924/2469,6784,9924,2469,30E5,-149.25,x
OS 6784/9924/2400,6784,9924,2400,2001,213.47,x
OS 6784/9924/2400,6784,9924,2400,7005,67.46,x
OS 6784/9924/2400,6784,9924,2400,8022,35.41,
OS 6784/9924/2400,6784,9924,2400,60B3,26.52,
OS 6784/9924/2538,6784,9924,2538,2001,128.79,x
OS 6784/9924/2538,6784,9924,2538,3087,8.87,
OS 6784/9924/2538,6784,9924,2538,7005,67.46,x
OS 6784/9924/2538,6784,9924,2538,8022,35.15,
OS 6784/9924/2538,6784,9924,2538,60B3,8.87,
OS 6784/9924/2538,6784,9924,2538,2001,289.90,x
OS 6784/9924/2538,6784,9924,2538,3087,8.87,
OS 6784/9924/2538,6784,9924,2538,7005,67.46,x
OS 6784/9924/2538,6784,9924,2538,8022,41.36,
OS 6784/9924/2538,6784,9924,2538,30E5,-106.47,x
OS 6784/9924/2549,6784,9924,2549,2001,436.69,x
OS 6784/9924/2549,6784,9924,2549,3087,8.87,
OS 6784/9924/2549,6784,9924,2549,7005,67.46,x
OS 6784/9924/2549,6784,9924,2549,8022,1.09,
OS 6784/9924/2549,6784,9924,2549,60B3,11.22,
OS 6784/9924/2549,6784,9924,2549,30E5,-92.60,x
OS 6784/9924/2407,6784,9924,2407,2001,264.90,x
OS 6784/9924/2407,6784,9924,2407,7005,67.46,x
OS 6784/9924/2407,6784,9924,2407,8022,52.01,
OS 6784/9924/2407,6784,9924,2407,60B3,26.52,
OS 6784/9924/2711,6784,9924,2711,2001,44.06,x
OS 6784/9924/2711,6784,9924,2711,7005,67.46,x
OS 6784/9924/2711,6784,9924,2711,8022,77.42,
OS 6784/9924/2711,6784,9924,2711,60B3,26.52,
OS 6784/9924/2602,6784,9924,2602,2001,18.51,x
OS 6784/9924/2602,6784,9924,2602,7005,67.46,x
OS 6784/9924/2602,6784,9924,2602,8022,51.19,
OS 6784/9924/2602,6784,9924,2602,60B3,26.52,
OS 6784/9924/2456,6784,9924,2456,7005,67.46,x
OS 6784/9924/2456,6784,9924,2456,8022,19.09,
OS 6784/9924/2456,6784,9924,2456,2001,110.51,x
OS 6784/9924/2456,6784,9924,2456,7005,21.20,x
OS 6784/9924/2456,6784,9924,2456,8022,41.36,
OS 6784/9924/2456,6784,9924,2456,30E5,-251.81,x
OS 6784/9924/2655,6784,9924,2655,2001,359.47,x
OS 6784/9924/2655,6784,9924,2655,7005,67.46,x
OS 6784/9924/2655,6784,9924,2655,8022,72.65,
OS 6784/9924/2655,6784,9924,2655,60B3,26.52,
OS 6784/9924/2655,6784,9924,2655,30E5,-14.06,x
OS 6784/9924/2608,6784,9924,2608,2001,282.99,x
OS 6784/9924/2608,6784,9924,2608,7005,67.46,x
OS 6784/9924/2608,6784,9924,2608,8022,55.04,
OS 6784/9924/2608,6784,9924,2608,60B3,26.52,
OS 6784/9924/2608,6784,9924,2608,20D6,-5.68,x
OS 6784/9924/2608,6784,9924,2608,30E5,-10.33,x
OS 6784/9924/2608,6784,9924,2608,70K9,79.56,
OS 6784/9924/2681,6784,9924,2681,2001,213.47,x
OS 6784/9924/2681,6784,9924,2681,7005,67.46,x
OS 6784/9924/2681,6784,9924,2681,8022,77.42,
OS 6784/9924/2681,6784,9924,2681,60B3,26.52,
OS 6784/9924/2788,6784,9924,2788,2001,240.23,x
OS 6784/9924/2788,6784,9924,2788,7005,84.49,x
OS 6784/9924/2788,6784,9924,2788,8022,52.18,
OS 6784/9924/2788,6784,9924,2788,2001,518.06,x
OS 6784/9924/2788,6784,9924,2788,7005,67.46,x
OS 6784/9924/2788,6784,9924,2788,8022,41.36,
OS 6784/9924/2788,6784,9924,2788,30E5,-149.65,x
OS 6784/9924/2762,6784,9924,2762,Y250,9.19,
OS 6784/9924/2762,6784,9924,2762,Y250,9.19,
OS 6784/9924/2762,6784,9924,2762,Y250,9.19,
OS 6784/9924/2489,6784,9924,2489,2001,100.88,x
OS 6784/9924/2489,6784,9924,2489,7005,79.56,x
OS 6784/9924/2489,6784,9924,2489,8022,35.15,
OS 6784/9924/2489,6784,9924,2489,60B3,15.72,
OS 6784/9924/2510,6784,9924,2510,2001,236.51,x
OS 6784/9924/2510,6784,9924,2510,7005,79.56,x
OS 6784/9924/2510,6784,9924,2510,8022,26.23,
OS 6784/9924/2510,6784,9924,2510,60B3,15.72,
OS 6784/9924/2754,6784,9924,2754,2001,182.02,x
OS 6784/9924/2754,6784,9924,2754,7005,79.56,x
OS 6784/9924/2754,6784,9924,2754,8022,77.42,
OS 6784/9924/2754,6784,9924,2754,60B3,15.72,
OS 6784/9924/2754,6784,9924,2754,2001,427.40,x
OS 6784/9924/2754,6784,9924,2754,7005,86.76,x
OS 6784/9924/2754,6784,9924,2754,8022,77.42,
OS 6784/9924/2754,6784,9924,2754,20D6,-43.50,x
OS 6784/9924/2672,6784,9924,2672,2001,62.71,x
OS 6784/9924/2672,6784,9924,2672,7005,79.56,x
OS 6784/9924/2672,6784,9924,2672,8022,77.42,
OS 6784/9924/2672,6784,9924,2672,60B3,15.72,
OS 6784/9924/2621,6784,9924,2621,2001,182.02,x
OS 6784/9924/2621,6784,9924,2621,7005,79.56,x
OS 6784/9924/2621,6784,9924,2621,8022,51.19,
OS 6784/9924/2621,6784,9924,2621,60B3,15.72,
OS 6784/9924/2621,6784,9924,2621,2001,292.71,x
OS 6784/9924/2621,6784,9924,2621,7005,79.56,x
OS 6784/9924/2621,6784,9924,2621,8022,52.18,
OS 6784/9924/2621,6784,9924,2621,30E5,-250.49,x
OS 6784/9924/2540,6784,9924,2540,2001,30.26,x
OS 6784/9924/2540,6784,9924,2540,7005,79.56,x
OS 6784/9924/2540,6784,9924,2540,8022,67.94,
OS 6784/9924/2540,6784,9924,2540,60B3,15.72,
OS 6784/9924/2540,6784,9924,2540,2001,353.08,x
OS 6784/9924/2540,6784,9924,2540,7005,86.76,x
OS 6784/9924/2540,6784,9924,2540,8022,77.42,
OS 6784/9924/2540,6784,9924,2540,20D6,-29.82,x
OS 6784/9924/2655,6784,9924,2655,2001,46.26,x
OS 6784/9924/2655,6784,9924,2655,7005,119.08,x
OS 6784/9924/2655,6784,9924,2655,8022,73.84,
OS 6784/9924/2655,6784,9924,2655,2001,194.84,x
OS 6784/9924/2655,6784,9924,2655,7005,79.56,x
OS 6784/9924/2655,6784,9924,2655,8022,77.42,
OS 6784/9924/2655,6784,9924,2655,60B3,8.87,
OS 6784/9924/2655,6784,9924,2655,30E5,-49.56,x
OS 6784/9924/2614,6784,9924,2614,2001,386.08,x
OS 6784/9924/2614,6784,9924,2614,7005,79.56,x
OS 6784/9924/2614,6784,9924,2614,8022,86.76,
OS 6784/9924/2614,6784,9924,2614,60B3,15.72,
OS 6784/9924/2878,6784,9924,2878,2001,260.73,x
OS 6784/9924/2878,6784,9924,2878,7005,35.41,x
OS 6784/9924/2878,6784,9924,2878,8022,14.03,
OS 6784/9924/2878,6784,9924,2878,60B3,15.72,
OS 6784/9924/2660,6784,9924,2660,2001,140.88,x
OS 6784/9924/2660,6784,9924,2660,7005,35.41,x
OS 6784/9924/2660,6784,9924,2660,8022,19.09,
OS 6784/9924/2660,6784,9924,2660,60B3,15.72,
OS 6784/9924/2918,6784,9924,2918,2001,45.55,x
OS 6784/9924/2918,6784,9924,2918,7005,67.46,x
OS 6784/9924/2918,6784,9924,2918,8022,2.74,
OS 6784/9924/2918,6784,9924,2918,60B3,15.72,
OS 6784/9924/2923,6784,9924,2923,2001,229.30,x
OS 6784/9924/2923,6784,9924,2923,7005,67.46,x
OS 6784/9924/2923,6784,9924,2923,8022,14.03,
OS 6784/9924/2923,6784,9924,2923,60B3,15.72,
OS 6784/9924/2808,6784,9924,2808,2001,36.02,x
OS 6784/9924/2808,6784,9924,2808,7005,67.46,x
OS 6784/9924/2808,6784,9924,2808,8022,47.99,
OS 6784/9924/2791,6784,9924,2791,2001,244.08,x
OS 6784/9924/2791,6784,9924,2791,7005,67.46,x
OS 6784/9924/2791,6784,9924,2791,8022,14.03,
OS 6784/9924/2791,6784,9924,2791,60B3,15.72,
OS 6784/9924/2921,6784,9924,2921,2001,200.77,x
OS 6784/9924/2921,6784,9924,2921,7005,41.11,x
OS 6784/9924/2921,6784,9924,2921,8022,77.42,
OS 6784/9924/2921,6784,9924,2921,60B3,15.72,
OS 6784/9924/2734,6784,9924,2734,2001,95.98,x
OS 6784/9924/2734,6784,9924,2734,7005,67.46,x
OS 6784/9924/2734,6784,9924,2734,8022,68.36,
OS 6784/9924/2734,6784,9924,2734,60B3,15.72,
OS 6784/9924/2744,6784,9924,2744,2001,165.61,x
OS 6784/9924/2744,6784,9924,2744,7005,67.46,x
OS 6784/9924/2744,6784,9924,2744,8022,52.01,
OS 6784/9924/2744,6784,9924,2744,60B3,15.72,
OS 6784/9924/2642,6784,9924,2642,2001,139.97,x
OS 6784/9924/2642,6784,9924,2642,7005,67.46,x
OS 6784/9924/2642,6784,9924,2642,8022,55.04,
OS 6784/9924/2642,6784,9924,2642,60B3,15.72,
OS 6784/9924/2800,6784,9924,2800,2001,263.45,x
OS 6784/9924/2800,6784,9924,2800,7005,67.46,x
OS 6784/9924/2800,6784,9924,2800,8022,2.74,
OS 6784/9924/2800,6784,9924,2800,60B3,15.72,
OS 6784/9924/2790,6784,9924,2790,2001,189.76,x
OS 6784/9924/2790,6784,9924,2790,7005,67.46,x
OS 6784/9924/2790,6784,9924,2790,8022,55.04,
OS 6784/9924/2790,6784,9924,2790,60B3,15.72,
OS 6784/9924/2790,6784,9924,2790,30E5,-14.63,x
OS 6784/9924/2945,6784,9924,2945,2001,121.92,x
OS 6784/9924/2945,6784,9924,2945,7005,67.46,x
OS 6784/9924/2945,6784,9924,2945,8022,55.04,
OS 6784/9924/2945,6784,9924,2945,60B3,15.72,
OS 6784/9924/2952,6784,9924,2952,2001,232.64,x
OS 6784/9924/2952,6784,9924,2952,7005,67.46,x
OS 6784/9924/2952,6784,9924,2952,8022,14.38,
OS 6784/9924/2952,6784,9924,2952,60B3,15.72,
OS 6784/9924/2952,6784,9924,2952,20D6,-2.89,x
OS 6784/9924/2952,6784,9924,2952,70K9,8.87,
OS 6784/9924/2740,6784,9924,2740,2001,144.94,x
OS 6784/9924/2740,6784,9924,2740,2001,144.94,x
OS 6784/9924/2740,6784,9924,2740,3087,8.87,
OS 6784/9924/2740,6784,9924,2740,3087,8.87,
OS 6784/9924/2740,6784,9924,2740,7005,41.11,x
OS 6784/9924/2740,6784,9924,2740,7005,41.11,x
OS 6784/9924/2740,6784,9924,2740,8022,77.42,
OS 6784/9924/2740,6784,9924,2740,8022,77.42,
OS 6784/9924/2740,6784,9924,2740,60B3,8.87,
OS 6784/9924/2740,6784,9924,2740,60B3,8.87,
OS 6784/9924/2740,6784,9924,2740,70C0,12.80,
OS 6784/9924/2740,6784,9924,2740,70C0,12.80,
OS 6784/9924/2740,6784,9924,2740,20D6,-16.28,x
OS 6784/9924/2740,6784,9924,2740,20D6,-16.28,x
OS 6784/9924/2740,6784,9924,2740,30E5,-49.16,x
OS 6784/9924/2752,6784,9924,2752,2001,151.85,x
OS 6784/9924/2752,6784,9924,2752,7005,67.46,x
OS 6784/9924/2752,6784,9924,2752,8022,84.49,
OS 6784/9924/2752,6784,9924,2752,60B3,15.72,
OS 6784/9924/2875,6784,9924,2875,5076,114.03,
OS 6784/9924/2875,6784,9924,2875,5076,114.03,
OS 6784/9924/2875,6784,9924,2875,5076,114.03,
OS 6784/9924/2982,6784,9924,2982,2001,198.93,x
OS 6784/9924/2982,6784,9924,2982,7005,79.56,x
OS 6784/9924/2982,6784,9924,2982,8022,72.65,
OS 6784/9924/2982,6784,9924,2982,60B3,7.04,
OS 6784/9924/2739,6784,9924,2739,2001,477.99,x
OS 6784/9924/2739,6784,9924,2739,3087,8.87,
OS 6784/9924/2739,6784,9924,2739,7005,21.20,x
OS 6784/9924/2739,6784,9924,2739,8022,84.49,
OS 6784/9924/2739,6784,9924,2739,60B3,7.04,
OS 6784/9924/2739,6784,9924,2739,30E5,-43.06,x
OS 6784/9924/2803,6784,9924,2803,2001,282.48,x
OS 6784/9924/2803,6784,9924,2803,7005,79.56,x
OS 6784/9924/2803,6784,9924,2803,8022,48.95,
OS 6784/9924/2803,6784,9924,2803,60B3,7.04,
OS 6784/9924/2803,6784,9924,2803,2001,170.87,x
OS 6784/9924/2803,6784,9924,2803,7005,86.76,x
OS 6784/9924/2803,6784,9924,2803,8022,77.42,
OS 6784/9924/2803,6784,9924,2803,20D6,-31.36,x
OS 6784/9924/3088,6784,9924,3088,2001,48.90,x
OS 6784/9924/3088,6784,9924,3088,7005,79.56,x
OS 6784/9924/3088,6784,9924,3088,8022,22.64,
OS 6784/9924/3088,6784,9924,3088,60B3,7.04,
OS 6784/9924/2989,6784,9924,2989,2001,93.37,x
OS 6784/9924/2989,6784,9924,2989,7005,79.56,x
OS 6784/9924/2989,6784,9924,2989,8022,48.95,
OS 6784/9924/2989,6784,9924,2989,60B3,7.04,
OS 6784/9924/2866,6784,9924,2866,2001,724.22,x
OS 6784/9924/2866,6784,9924,2866,7005,26.91,x
OS 6784/9924/2866,6784,9924,2866,8022,52.18,
OS 6784/9924/2866,6784,9924,2866,30E5,-257.94,x
OS 6784/9924/3084,6784,9924,3084,2001,313.56,x
OS 6784/9924/3084,6784,9924,3084,7005,79.56,x
OS 6784/9924/3084,6784,9924,3084,8022,84.49,
OS 6784/9924/3084,6784,9924,3084,60B3,7.04,
OS 6784/9924/2867,6784,9924,2867,2001,138.21,x
OS 6784/9924/2867,6784,9924,2867,7005,99.06,x
OS 6784/9924/2867,6784,9924,2867,8022,94.76,
OS 6784/9924/2867,6784,9924,2867,60B3,7.04,
OS 6784/9924/3036,6784,9924,3036,2001,424.21,x
OS 6784/9924/3036,6784,9924,3036,7005,67.46,x
OS 6784/9924/3036,6784,9924,3036,8022,2.74,
OS 6784/9924/3036,6784,9924,3036,60B3,7.04,
OS 6784/9924/3036,6784,9924,3036,30E5,-70.49,x
OS 6784/9924/3114,6784,9924,3114,2001,159.09,x
OS 6784/9924/3114,6784,9924,3114,7005,67.46,x
OS 6784/9924/3114,6784,9924,3114,8022,39.93,
OS 6784/9924/3114,6784,9924,3114,60B3,7.04,
OS 6784/9924/2981,6784,9924,2981,2001,159.73,x
OS 6784/9924/2981,6784,9924,2981,7005,67.46,x
OS 6784/9924/2981,6784,9924,2981,8022,72.09,
OS 6784/9924/2981,6784,9924,2981,60B3,7.04,
OS 6784/9924/2977,6784,9924,2977,2001,353.22,x
OS 6784/9924/2977,6784,9924,2977,7005,41.11,x
OS 6784/9924/2977,6784,9924,2977,8022,41.36,
OS 6784/9924/2977,6784,9924,2977,60B3,7.04,
OS 6784/9924/2955,6784,9924,2955,2001,152.99,x
OS 6784/9924/2955,6784,9924,2955,7005,14.86,x
OS 6784/9924/2955,6784,9924,2955,8022,90.75,
OS 6784/9924/2955,6784,9924,2955,2001,518.06,x
OS 6784/9924/2955,6784,9924,2955,3087,8.87,
OS 6784/9924/2955,6784,9924,2955,7005,67.46,x
OS 6784/9924/2955,6784,9924,2955,8022,51.19,
OS 6784/9924/2955,6784,9924,2955,30E5,-93.47,x
OS 6784/9924/3230,6784,9924,3230,2001,225.78,x
OS 6784/9924/3230,6784,9924,3230,7005,67.46,x
OS 6784/9924/3230,6784,9924,3230,8022,48.95,
OS 6784/9924/3230,6784,9924,3230,60B3,7.04,
OS 6784/9924/3094,6784,9924,3094,2001,126.90,x
OS 6784/9924/3094,6784,9924,3094,7005,67.46,x
OS 6784/9924/3094,6784,9924,3094,8022,41.36,
